semester,year,offspring height,mom height,dad height,mid-parent,Sex
fall,2014,62,63,65,64,F
fall,2014,66,64,74,69,F
fall,2014,71,63,61,62,M
fall,2014,63,65,68,66.5,F
fall,2014,65,62,61,61.5,F
fall,2014,67,64,72,68,F
fall,2014,62,65,71,68,F
fall,2014,66,61,67,64,F
fall,2014,62,60,71,65.5,F
fall,2014,63,63,69,66,F
fall,2014,61,62,73,67.5,F
fall,2014,73,67,66,66.5,M
fall,2014,65,69,68,68.5,F
fall,2014,64,66,72,69,F
fall,2014,64,62,61,61.5,F
fall,2014,66,62,72,67,F
fall,2014,62,62,66,64,F
fall,2014,64,64,71,67.5,F
spring,2015,63,62,69,65.5,F
spring,2015,76,69,72,70.5,M
spring,2015,65,67,76,71.5,F
spring,2015,73,66,69,67.5,M
spring,2015,67,64,67,65.5,F
spring,2015,68,67,70,68.5,M
spring,2015,63,62,73,67.5,F
spring,2015,70,68,77,72.5,F
spring,2015,66,67,73,70,F
spring,2015,63,62,71,66.5,F
spring,2015,65,63,74,68.5,F
fall,2015,61,65,69,67,F
fall,2015,62,61,66,63.5,F
fall,2015,62,49,65,57,F
fall,2015,63,68,61,64.5,F
fall,2015,64,63,61,62,F
fall,2015,65,64,76,70,F
fall,2015,65,63,65,64,M
fall,2015,65,64,61,62.5,F
fall,2015,65,66,73,69.5,F
fall,2015,66,65,61,63,F
fall,2015,67,64,72,68,F
fall,2015,72,65,61,63,M
fall,2015,72,64,66,65,M
spring,2016,72,66,69,67.5,M
spring,2016,63,66,61,63.5,F
spring,2016,66,62,66,64,F
spring,2016,76,67,68,67.5,M
spring,2016,68,62,61,61.5,M
spring,2016,63,65,61,63,F
spring,2016,66,65,64,64.5,M
fall,2016,68,66,68,67,F
fall,2016,66,61,65,63,F
fall,2016,68,64,72,68,F
fall,2016,63,61,72,66.5,F
fall,2016,61,63,66,64.5,M
fall,2016,76,61,61,61,M
fall,2016,74,62,61,61.5,M
fall,2016,74,66,61,63.5,M
fall,2016,67,63,61,62,F
fall,2016,64,,73,,F
fall,2016,61,66,69,67.5,F
fall,2016,67,65,66,65.5,M
fall,2016,63,63,67,65,F
fall,2016,66,65,68,66.5,F
fall,2016,64,62,72,67,F
fall,2016,66,,65,,F
fall,2016,67,64,72,68,F
fall,2016,63,,73,,F
fall,2016,67,64,74,69,F
fall,2016,67,61,61,61,F
fall,2016,67,60,72,66,F
fall,2016,69,67,68,67.5,M
fall,2016,66,63,61,62,F
fall,2016,67,63,67,65,M
fall,2016,60,67,73,70,F
fall,2016,72,64,68,66,M
fall,2016,63,64,67,65.5,F
fall,2016,66,68,61,64.5,F
fall,2016,62,,68,,F
fall,2016,66,66,68,67,F
fall,2016,69,66,65,65.5,M
fall,2016,62,63,61,62,F
fall,2016,61,68,69,68.5,F
fall,2016,64,64,74,69,F
spring,2017,70,69,70,69.5,M
spring,2017,67,65,67,66,F
spring,2017,69,66,73,69.5,F
spring,2017,63,63,74,68.5,F
spring,2017,72,65,,65,M
spring,2017,67,69,69,69,F
spring,2017,64,63,69,66,F
spring,2017,63,62,72,67,F
spring,2017,70,66,68,67,M
spring,2017,68,67,74,70.5,F
spring,2017,64,63,75,69,F
spring,2017,70,68,,68,F
spring,2017,70,66,72,69,M
spring,2017,68,64,71,67.5,F
spring,2017,65,69,68,68.5,F
spring,2017,69,64,73,68.5,F
spring,2017,61,69,69,69,F
spring,2017,71,67,70,68.5,M
